material,Df,T_eval_K,mode,Tc_K,xi_nm,lambda_nm,kappa,Hc_Aperm,Hc1_Aperm,Hc2_Aperm,Jd_Aperm2,Jpin_Aperm2,Jc_Aperm2,Bext_T,vF,m_eff,ns,lambda_ep,mu_star,theta_b
YBCO,1.0,0.0,mcmillan,46.94161955509266,5.45206884400712,42.01159569802428,7.705624580328468,808500.7020656957,188592.6013914402,8810554.570833145,7407289824343.788,1243483865414.2886,1243483865414.2886,1.0,200000.0,1.821876712e-30,8e+27,1.0,0.12,900.0
YBCO,1.02,0.0,mcmillan,47.300170542338236,5.426836278110959,41.824825598969866,7.707036559711503,815887.0717835444,190294.41011875146,8892675.983505854,7508341657164.284,1239999723384.5393,1239999723384.5393,1.0,200594.9620172589,1.8164730496504176e-30,8.04766775734111e+27,1.0039683787044291,0.12,900.8915595360207
YBCO,1.04,0.0,mcmillan,47.65284936275403,5.402384955277126,41.64248864815859,7.708167595032563,823168.4308098999,191975.59624671165,8973355.075134993,7608519255929.295,1236595269169.1602,1236595269169.1602,1.0,201180.08928668866,1.811189883113892e-30,8.094685665080003e+27,1.0078749885178921,0.12,901.7666637710569
YBCO,1.06,0.0,mcmillan,47.999853733887484,5.378675778584579,41.46439735187092,7.709034539126367,830348.080257189,193636.78955394364,9052638.442327702,7707844452504.278,1233267731156.969,1233267731156.969,1.0,201755.7288969814,1.806022284433142e-30,8.14107482855045e+27,1.0117219514927542,0.12,902.6259242516135
YBCO,1.08,0.0,mcmillan,48.34137133971048,5.355672321250985,41.29037549596694,7.709653059267501,837429.1611924233,195278.58922581308,9130570.468682436,7806338173390.443,1230014452103.4666,1230014452103.4666,1.0,202322.20941864068,1.800965615426048e-30,8.186855284808061e+27,1.0155112783974816,0.12,903.469918783446
YBCO,1.1,0.0,mcmillan,48.67758050685213,5.333340597614043,41.12025727315867,7.710037737240049,844414.6650582898,196901.5658741667,9207193.463133754,7904020491903.276,1226832885256.6008,1226832885256.6008,1.0,202879.84221416333,1.796015505647719e-30,8.23204607536876e+27,1.0192448764914566,0.12,904.2991938784854
YBCO,1.12,0.0,mcmillan,49.008650824321464,5.311648857597072,40.95388649228964,7.710202159488514,851307.4432473389,198506.2633897161,9282547.787619988,8000910676524.242,1223720590310.0176,1223720590310.0176,1.0,203428.9226335504,1.7911678323950657e-30,8.276665312769406e+27,1.0229245566260303,0.12,905.1142669833837
YBCO,1.14,0.0,mcmillan,49.33474371232907,5.290567401871936,40.79111586060296,7.7101589984790735,858110.2159113763,200093.20064365584,9356671.97504991,8097027235764.661,1220675229268.1099,1220675229268.1099,1.0,203969.73110704008,1.7864187025318063e-30,8.32073024157565e+27,1.0265520397411132,0.12,905.9156285126986
YBCO,1.16,0.0,mcmillan,49.65601294517371,5.270068415306404,40.63180633111014,7.709920086255236,864825.5800789425,201662.8730532003,9429602.838441605,8192387959845.67,1217694562287.738,1217694562287.738,1.0,204502.53414553372,1.7817644359394254e-30,8.364257294389036e+27,1.030128962818399,0.12,906.7037437069404
YBCO,1.18,0.0,mcmillan,49.97260513260091,5.250125816601349,40.475826508145886,7.70949648104772,871456.0171457218,203215.75402406312,9501375.57201611,8287009959467.108,1214776443546.0962,1214776443546.0962,1.0,205027.58525795973,1.7772015504233424e-30,8.407262143341988e+27,1.0336568843451934,0.12,907.4790543333073
YBCO,1.2,0.0,mcmillan,50.28466016355391,5.230715122294579,40.32305210503172,7.708898527691764,878003.8997957082,204752.29628146073,9572023.84494899,8380909701911.144,1211918817172.0142,1211918817172.0142,1.0,205545.12579375444,1.77272674792404e-30,8.449759747514065e+27,1.0371372893366482,0.12,908.2419802448517
YBCO,1.22,0.0,mcmillan,50.59231161580908,5.211813323540598,40.1733654484962,7.7081359125128435,884471.4984047711,206272.9330999586,9641579.88841186,8474103044702.076,1209119713268.369,1209119713268.369,1.0,206055.3857177102,1.7683369019006545e-30,8.491764396654864e+27,1.0405715939588083,0.12,908.9929208120041
YBCO,1.24,0.0,mcmillan,50.895687134613965,5.193398774275061,40.02665502512707,7.7072177132622235,890860.9869728347,207778.07944136686,9710074.576473208,8566605267022.209,1206377244045.664,1206377244045.664,1.0,206558.58432363364,1.764029045769896e-30,8.533289751556731e+27,1.0439611497901928,0.12,909.732256238815
YBCO,1.26,0.0,mcmillan,51.19490878311855,5.175451089544052,39.882815065675885,7.706152444615121,897174.4486261398,209268.13300892615,9777537.5013729,8658431099064.942,1203689600080.83,1203689600080.83,1.0,207054.93089254916,1.7598003622965736e-30,8.57434888138366e+27,1.0473072477555103,0.12,910.460348774894
