path,name,extension,type,is_dir,size_bytes,modified
TTM-Optech-Raman-AI/notebooks/01c_baseline_and_smoothing.ipynb,01c_baseline_and_smoothing.ipynb,.ipynb,code,False,2477,2025-11-04T12:17:46
TTM-Optech-Raman-AI/notebooks/01d_normalization_and_export.ipynb,01d_normalization_and_export.ipynb,.ipynb,code,False,1945,2025-11-04T12:17:46
TTM-Optech-Raman-AI/notebooks/02_featurization.ipynb,02_featurization.ipynb,.ipynb,code,False,10680,2025-11-04T12:17:46
TTM-Optech-Raman-AI/notebooks/03_modeling_and_calibration.ipynb,03_modeling_and_calibration.ipynb,.ipynb,code,False,6745,2025-11-04T12:17:46
TTM-Optech-Raman-AI/notebooks/04_evaluation_and_report.ipynb,04_evaluation_and_report.ipynb,.ipynb,code,False,3376,2025-11-04T12:17:46
TTM-Optech-Raman-AI/params.yaml,params.yaml,.yaml,config,False,382,2025-11-04T12:17:44
TTM-Optech-Raman-AI/plots/Al2O3_sapphire.png,Al2O3_sapphire.png,.png,figure,False,87581,2025-11-04T12:17:46
TTM-Optech-Raman-AI/plots/PS_polystyrene.png,PS_polystyrene.png,.png,figure,False,75453,2025-11-04T12:17:46
TTM-Optech-Raman-AI/plots/PTFE.png,PTFE.png,.png,figure,False,82761,2025-11-04T12:17:46
TTM-Optech-Raman-AI/plots/ablation_table.tex,ablation_table.tex,.tex,text,False,374,2025-11-04T12:17:46
TTM-Optech-Raman-AI/plots/calibration.json,calibration.json,.json,data,False,32,2025-11-04T12:17:46
TTM-Optech-Raman-AI/plots/calibration_table.tex,calibration_table.tex,.tex,text,False,270,2025-11-04T12:17:46
TTM-Optech-Raman-AI/plots/figures.tex,figures.tex,.tex,text,False,1055,2025-11-04T12:17:46
TTM-Optech-Raman-AI/plots/uncertainty_calibration.png,uncertainty_calibration.png,.png,figure,False,76988,2025-11-04T12:17:46
TTM-Optech-Raman-AI/plots/uncertainty_calibration_scaled.png,uncertainty_calibration_scaled.png,.png,figure,False,78844,2025-11-04T12:17:46
TTM-Optech-Raman-AI/pyproject.toml,pyproject.toml,.toml,config,False,779,2025-11-04T12:17:44
TTM-Optech-Raman-AI/requirements.txt,requirements.txt,.txt,text,False,178,2025-11-04T12:17:44
TTM-Optech-Raman-AI/src/raman_ai/__init__.py,__init__.py,.py,code,False,13,2025-11-04T12:17:44
TTM-Optech-Raman-AI/src/raman_ai/__pycache__/__init__.cpython-311.pyc,__init__.cpython-311.pyc,.pyc,other,False,190,2025-11-04T12:17:44
TTM-Optech-Raman-AI/src/raman_ai/__pycache__/cli.cpython-311.pyc,cli.cpython-311.pyc,.pyc,other,False,14558,2025-11-04T12:17:44
TTM-Optech-Raman-AI/src/raman_ai/cli.py,cli.py,.py,code,False,6292,2025-11-04T12:17:44
TTM-Optech-Raman-AI/src/raman_ai/eval/__pycache__/calibration.cpython-311.pyc,calibration.cpython-311.pyc,.pyc,other,False,2709,2025-11-04T12:17:44
TTM-Optech-Raman-AI/src/raman_ai/eval/calibration.py,calibration.py,.py,code,False,3051,2025-11-04T12:17:44
TTM-Optech-Raman-AI/src/raman_ai/eval/evaluate.py,evaluate.py,.py,code,False,670,2025-11-04T12:17:44
TTM-Optech-Raman-AI/src/raman_ai/features/df_estim.py,df_estim.py,.py,code,False,457,2025-11-04T12:17:44
TTM-Optech-Raman-AI/src/raman_ai/features/fwt.py,fwt.py,.py,code,False,269,2025-11-04T12:17:44
TTM-Optech-Raman-AI/src/raman_ai/features/peaks.py,peaks.py,.py,code,False,297,2025-11-04T12:17:44
TTM-Optech-Raman-AI/src/raman_ai/features/pipeline.py,pipeline.py,.py,code,False,906,2025-11-04T12:17:44
