D_abs2,f0_Hz,Q
0.0,60.05889671043769,3320.778360912659
0.0001666666666666667,60.058646466598745,3320.764524422633
0.0003333333333333334,60.05839622588781,3320.7506881055606
0.0005,60.05814598830482,3320.736851961439
0.0006666666666666668,60.0578957538497,3320.723015990263
0.0008333333333333335,60.05764552252238,3320.70918019203
0.001,60.05739529432279,3320.6953445667355
0.0011666666666666668,60.05714506925091,3320.681509114378
0.0013333333333333335,60.05689484730661,3320.6676738349515
0.0015000000000000002,60.05664462848986,3320.6538387284536
0.001666666666666667,60.0563944128006,3320.64000379488
0.0018333333333333335,60.05614420023876,3320.626169034229
0.002,60.055893990804265,3320.6123344464945
0.002166666666666667,60.05564378449705,3320.598500031674
0.0023333333333333335,60.05539358131706,3320.5846657897637
0.0025000000000000005,60.05514338126424,3320.570831720761
0.002666666666666667,60.05489318433849,3320.556997824661
0.0028333333333333335,60.05464299053977,3320.54316410146
0.0030000000000000005,60.05439279986801,3320.529330551156
0.003166666666666667,60.054142612323155,3320.515497173744
0.003333333333333334,60.05389242790512,3320.5016639692203
0.0035000000000000005,60.05364224661385,3320.487830937582
0.003666666666666667,60.05339206844927,3320.4739980788254
0.003833333333333334,60.05314189341134,3320.460165392947
0.004,60.052891721499975,3320.4463328799425
0.0041666666666666675,60.052641552715116,3320.432500539809
0.004333333333333334,60.05239138705669,3320.418668372542
0.0045000000000000005,60.05214122452465,3320.40483637814
0.004666666666666667,60.0518910651189,3320.391004556597
0.004833333333333334,60.0516409088394,3320.3771729079103
0.005000000000000001,60.05139075568608,3320.363341432076
0.0051666666666666675,60.05114060565888,3320.349510129092
0.005333333333333334,60.05089045875773,3320.335678998953
0.0055000000000000005,60.05064031498255,3320.321848041656
0.005666666666666667,60.05039017433329,3320.3080172571968
0.0058333333333333345,60.0501400368099,3320.294186645573
0.006000000000000001,60.049889902412275,3320.28035620678
0.0061666666666666675,60.049639771140384,3320.266525940815
0.006333333333333334,60.04938964299414,3320.2526958476733
0.006500000000000001,60.049139517973515,3320.238865927353
0.006666666666666668,60.04888939607839,3320.225036179848
0.0068333333333333345,60.04863927730874,3320.2112066051573
0.007000000000000001,60.04838916166448,3320.197377203275
0.0071666666666666675,60.048139049145554,3320.1835479742
0.007333333333333334,60.0478889397519,3320.1697189179267
0.007500000000000001,60.04763883348344,3320.155890034452
0.007666666666666668,60.04738873034013,3320.1420613237733
0.007833333333333335,60.04713863032189,3320.1282327858853
0.008,60.04688853342864,3320.1144044207854
0.008166666666666668,60.04663843966035,3320.1005762284703
0.008333333333333335,60.04638834901692,3320.086748208935
0.0085,60.04613826149833,3320.0729203621786
0.008666666666666668,60.04588817710446,3320.0590926881946
0.008833333333333334,60.04563809583528,3320.0452651869805
0.009000000000000001,60.04538801769072,3320.0314378585335
0.009166666666666668,60.045137942670706,3320.0176107028487
0.009333333333333334,60.04488787077518,3320.0037837199234
0.009500000000000001,60.044637802004054,3319.9899569097524
0.009666666666666667,60.04438773635731,3319.9761302723346
0.009833333333333335,60.04413767383486,3319.962303807666
0.010000000000000002,60.04388761443663,3319.948477515741
0.010166666666666668,60.04363755816255,3319.9346513965575
0.010333333333333335,60.04338750501257,3319.9208254501114
0.0105,60.04313745498662,3319.906999676399
0.010666666666666668,60.042887408084646,3319.893174075418
0.010833333333333335,60.04263736430657,3319.8793486471636
0.011000000000000001,60.04238732365232,3319.8655233916315
0.011166666666666668,60.04213728612184,3319.8516983088193
0.011333333333333334,60.04188725171508,3319.837873398724
0.011500000000000002,60.04163722043196,3319.824048661341
0.011666666666666669,60.0413871922724,3319.810224096666
0.011833333333333335,60.04113716723635,3319.796399704696
0.012000000000000002,60.04088714532377,3319.7825754854293
0.012166666666666668,60.04063712653455,3319.768751438859
0.012333333333333335,60.04038711086864,3319.7549275649835
0.012500000000000002,60.040137098326,3319.7411038637993
0.012666666666666668,60.03988708890653,3319.7272803353026
0.012833333333333335,60.039637082610184,3319.7134569794885
0.013000000000000001,60.03938707943689,3319.699633796355
0.013166666666666669,60.0391370793866,3319.6858107858984
0.013333333333333336,60.03888708245923,3319.6719879481147
0.013500000000000002,60.03863708865472,3319.658165283
0.013666666666666669,60.038387097973,3319.6443427905506
0.013833333333333335,60.03813711041401,3319.6305204707637
0.014000000000000002,60.03788712597769,3319.6166983236353
0.014166666666666668,60.037637144663954,3319.6028763491613
0.014333333333333335,60.037387166472776,3319.5890545473394
0.014500000000000002,60.03713719140405,3319.5752329181646
0.014666666666666668,60.036887219457746,3319.561411461634
0.014833333333333336,60.03663725063377,3319.547590177744
0.015000000000000001,60.036387284932076,3319.5337690664915
0.015166666666666669,60.03613732235259,3319.5199481278714
0.015333333333333336,60.03588736289524,3319.5061273618817
0.015500000000000002,60.035637406559985,3319.492306768518
0.01566666666666667,60.03538745334673,3319.4784863477767
0.015833333333333335,60.035137503255434,3319.4646660996546
0.016,60.03488755628603,3319.4508460241477
0.01616666666666667,60.03463761243843,3319.4370261212525
0.016333333333333335,60.0343876717126,3319.423206390966
0.0165,60.03413773410845,3319.409386833283
0.01666666666666667,60.03388779962592,3319.3955674482017
0.016833333333333336,60.03363786826496,3319.3817482357176
0.017,60.033387940025506,3319.367929195828
0.01716666666666667,60.033138014907465,3319.354110328528
0.017333333333333336,60.03288809291079,3319.340291633814
0.0175,60.03263817403543,3319.326473111684
0.017666666666666667,60.032388258281294,3319.3126547621337
0.017833333333333336,60.03213834564833,3319.2988365851584
0.018000000000000002,60.03188843613647,3319.285018580756
0.018166666666666668,60.03163852974564,3319.2712007489213
0.018333333333333337,60.0313886264758,3319.2573830896526
0.018500000000000003,60.031138726326866,3319.2435656029447
0.018666666666666668,60.03088882929878,3319.2297482887952
0.018833333333333337,60.030638935391494,3319.215931147201
0.019000000000000003,60.03038904460489,3319.2021141781556
0.01916666666666667,60.030139156938944,3319.188297381658
0.019333333333333334,60.0298892723936,3319.1744807577047
0.019500000000000003,60.02963939096876,3319.16066430629
0.01966666666666667,60.02938951266439,3319.1468480274125
0.019833333333333335,60.029139637480405,3319.133031921068
0.020000000000000004,60.02888976541674,3319.119215987252
0.02016666666666667,60.02863989647334,3319.105400225961
0.020333333333333335,60.02839003065014,3319.091584637193
0.020500000000000004,60.02814016794706,3319.0777692209435
0.02066666666666667,60.02789030836406,3319.0639539772083
0.020833333333333336,60.02764045190106,3319.0501389059846
0.021,60.027390598557986,3319.0363240072684
0.02116666666666667,60.027140748334794,3319.0225092810565
0.021333333333333336,60.02689090123139,3319.008694727344
0.021500000000000002,60.02664105724775,3318.9948803461293
0.02166666666666667,60.02639121638378,3318.981066137408
