theta_rad,Req_Ohm,Q_gain
0.0,1.76,1.1363636363636365
0.004363323129985824,1.76,1.1363636363636365
0.008726646259971648,1.76,1.1363636363636365
0.013089969389957472,1.76,1.1363636363636365
0.017453292519943295,1.76,1.1363636363636365
0.02181661564992912,1.76,1.1363636363636365
0.026179938779914945,1.76,1.1363636363636365
0.030543261909900768,1.76,1.1363636363636365
0.03490658503988659,1.76,1.1363636363636365
0.039269908169872414,1.76,1.1363636363636365
0.04363323129985824,1.76,1.1363636363636365
0.04799655442984406,1.76,1.1363636363636365
0.05235987755982989,1.76,1.1363636363636365
0.05672320068981571,1.76,1.1363636363636365
0.061086523819801536,1.76,1.1363636363636365
0.06544984694978735,1.76,1.1363636363636365
0.06981317007977318,1.76,1.1363636363636365
0.07417649320975901,1.76,1.1363636363636365
0.07853981633974483,1.76,1.1363636363636365
0.08290313946973066,1.76,1.1363636363636365
0.08726646259971647,1.76,1.1363636363636365
0.0916297857297023,1.76,1.1363636363636365
0.09599310885968812,1.76,1.1363636363636365
0.10035643198967395,1.76,1.1363636363636365
0.10471975511965978,1.76,1.1363636363636365
0.1090830782496456,1.76,1.1363636363636365
0.11344640137963143,1.76,1.1363636363636365
0.11780972450961724,1.76,1.1363636363636365
0.12217304763960307,1.76,1.1363636363636365
0.1265363707695889,1.76,1.1363636363636365
0.1308996938995747,1.76,1.1363636363636365
0.13526301702956053,1.76,1.1363636363636365
0.13962634015954636,1.76,1.1363636363636365
0.1439896632895322,1.76,1.1363636363636365
0.14835298641951802,1.76,1.1363636363636365
0.15271630954950383,1.76,1.1363636363636365
0.15707963267948966,1.76,1.1363636363636365
0.16144295580947549,1.76,1.1363636363636365
0.16580627893946132,1.76,1.1363636363636365
0.17016960206944712,1.76,1.1363636363636365
0.17453292519943295,1.76,1.1363636363636365
0.17889624832941878,1.76,1.1363636363636365
0.1832595714594046,1.76,1.1363636363636365
0.18762289458939044,1.76,1.1363636363636365
0.19198621771937624,1.76,1.1363636363636365
0.19634954084936207,1.76,1.1363636363636365
0.2007128639793479,1.76,1.1363636363636365
0.20507618710933373,1.76,1.1363636363636365
0.20943951023931956,1.76,1.1363636363636365
0.21380283336930536,1.76,1.1363636363636365
0.2181661564992912,1.76,1.1363636363636365
0.22252947962927702,1.76,1.1363636363636365
0.22689280275926285,1.76,1.1363636363636365
0.23125612588924865,1.76,1.1363636363636365
0.23561944901923448,1.76,1.1363636363636365
0.2399827721492203,1.76,1.1363636363636365
0.24434609527920614,1.76,1.1363636363636365
0.24870941840919197,1.76,1.1363636363636365
0.2530727415391778,1.76,1.1363636363636365
0.25743606466916363,1.76,1.1363636363636365
0.2617993877991494,1.76,1.1363636363636365
0.26616271092913524,1.76,1.1363636363636365
0.27052603405912107,1.76,1.1363636363636365
0.2748893571891069,1.76,1.1363636363636365
0.2792526803190927,1.76,1.1363636363636365
0.28361600344907856,1.76,1.1363636363636365
0.2879793265790644,1.76,1.1363636363636365
0.2923426497090502,1.76,1.1363636363636365
0.29670597283903605,1.76,1.1363636363636365
0.3010692959690218,1.76,1.1363636363636365
0.30543261909900765,1.76,1.1363636363636365
0.3097959422289935,1.76,1.1363636363636365
0.3141592653589793,1.76,1.1363636363636365
0.31852258848896514,1.76,1.1363636363636365
0.32288591161895097,1.76,1.1363636363636365
0.3272492347489368,1.76,1.1363636363636365
0.33161255787892263,1.76,1.1363636363636365
0.33597588100890846,1.76,1.1363636363636365
0.34033920413889424,1.76,1.1363636363636365
0.34470252726888007,1.76,1.1363636363636365
0.3490658503988659,1.76,1.1363636363636365
0.3534291735288517,1.76,1.1363636363636365
0.35779249665883756,1.76,1.1363636363636365
0.3621558197888234,1.76,1.1363636363636365
0.3665191429188092,1.76,1.1363636363636365
0.37088246604879505,1.76,1.1363636363636365
0.3752457891787809,1.76,1.1363636363636365
0.37960911230876665,1.76,1.1363636363636365
0.3839724354387525,1.76,1.1363636363636365
0.3883357585687383,1.76,1.1363636363636365
0.39269908169872414,1.76,1.1363636363636365
0.39706240482870997,1.76,1.1363636363636365
0.4014257279586958,1.76,1.1363636363636365
0.40578905108868163,1.76,1.1363636363636365
0.41015237421866746,1.76,1.1363636363636365
0.4145156973486533,1.76,1.1363636363636365
0.4188790204786391,1.76,1.1363636363636365
0.4232423436086249,1.76,1.1363636363636365
0.4276056667386107,1.76,1.1363636363636365
0.43196898986859655,1.76,1.1363636363636365
0.4363323129985824,1.76,1.1363636363636365
0.4406956361285682,1.76,1.1363636363636365
0.44505895925855404,1.76,1.1363636363636365
0.4494222823885399,1.76,1.1363636363636365
0.4537856055185257,1.76,1.1363636363636365
0.45814892864851153,1.76,1.1363636363636365
0.4625122517784973,1.76,1.1363636363636365
0.46687557490848314,1.76,1.1363636363636365
0.47123889803846897,1.76,1.1363636363636365
0.4756022211684548,1.76,1.1363636363636365
0.4799655442984406,1.76,1.1363636363636365
0.48432886742842646,1.76,1.1363636363636365
0.4886921905584123,1.76,1.1363636363636365
0.4930555136883981,1.76,1.1363636363636365
0.49741883681838395,1.76,1.1363636363636365
0.5017821599483697,1.76,1.1363636363636365
0.5061454830783556,1.76,1.1363636363636365
0.5105088062083414,1.76,1.1363636363636365
0.5148721293383273,1.76,1.1363636363636365
0.519235452468313,1.76,1.1363636363636365
0.5235987755982988,1.76,1.1363636363636365
0.5279620987282847,1.76,1.1363636363636365
0.5323254218582705,1.76,1.1363636363636365
0.5366887449882564,1.76,1.1363636363636365
0.5410520681182421,1.76,1.1363636363636365
0.545415391248228,1.76,1.1363636363636365
0.5497787143782138,1.76,1.1363636363636365
0.5541420375081997,1.76,1.1363636363636365
0.5585053606381855,1.76,1.1363636363636365
0.5628686837681712,1.76,1.1363636363636365
0.5672320068981571,1.76,1.1363636363636365
0.5715953300281429,1.76,1.1363636363636365
0.5759586531581288,1.76,1.1363636363636365
0.5803219762881145,1.76,1.1363636363636365
0.5846852994181004,1.76,1.1363636363636365
0.5890486225480862,1.76,1.1363636363636365
0.5934119456780721,1.76,1.1363636363636365
0.5977752688080579,1.76,1.1363636363636365
0.6021385919380436,1.76,1.1363636363636365
0.6065019150680295,1.76,1.1363636363636365
0.6108652381980153,1.76,1.1363636363636365
0.6152285613280012,1.76,1.1363636363636365
0.619591884457987,1.76,1.1363636363636365
0.6239552075879728,1.76,1.1363636363636365
0.6283185307179586,1.76,1.1363636363636365
0.6326818538479445,1.76,1.1363636363636365
0.6370451769779303,1.76,1.1363636363636365
0.6414085001079161,1.76,1.1363636363636365
0.6457718232379019,1.76,1.1363636363636365
0.6501351463678877,1.76,1.1363636363636365
0.6544984694978736,1.76,1.1363636363636365
0.6588617926278594,1.76,1.1363636363636365
0.6632251157578453,1.76,1.1363636363636365
0.667588438887831,1.76,1.1363636363636365
0.6719517620178169,1.76,1.1363636363636365
0.6763150851478027,1.76,1.1363636363636365
0.6806784082777885,1.76,1.1363636363636365
0.6850417314077744,1.76,1.1363636363636365
0.6894050545377601,1.76,1.1363636363636365
0.693768377667746,1.76,1.1363636363636365
0.6981317007977318,1.76,1.1363636363636365
0.7024950239277177,1.76,1.1363636363636365
0.7068583470577035,1.76,1.1363636363636365
0.7112216701876893,1.76,1.1363636363636365
0.7155849933176751,1.76,1.1363636363636365
0.7199483164476609,1.76,1.1363636363636365
0.7243116395776468,1.76,1.1363636363636365
0.7286749627076325,1.76,1.1363636363636365
0.7330382858376184,1.76,1.1363636363636365
0.7374016089676042,1.76,1.1363636363636365
0.7417649320975901,1.76,1.1363636363636365
0.7461282552275759,1.76,1.1363636363636365
0.7504915783575618,1.76,1.1363636363636365
0.7548549014875475,1.76,1.1363636363636365
0.7592182246175333,1.76,1.1363636363636365
0.7635815477475192,1.76,1.1363636363636365
0.767944870877505,1.76,1.1363636363636365
0.7723081940074908,1.76,1.1363636363636365
0.7766715171374766,1.76,1.1363636363636365
0.7810348402674625,1.76,1.1363636363636365
0.7853981633974483,1.76,1.1363636363636365
0.7897614865274342,1.76,1.1363636363636365
0.7941248096574199,1.76,1.1363636363636365
0.7984881327874057,1.76,1.1363636363636365
0.8028514559173916,1.76,1.1363636363636365
0.8072147790473774,1.76,1.1363636363636365
0.8115781021773633,1.76,1.1363636363636365
0.815941425307349,1.76,1.1363636363636365
0.8203047484373349,1.76,1.1363636363636365
