theta_rad,Jc_A_per_m2
0.0,6000000.0
0.004363323129985824,5999828.661128302
0.008726646259971648,5999314.7456150325
0.013089969389957472,5998458.5566054825
0.017453292519943295,5997260.59880838
0.02181661564992912,5995721.577697485
0.026179938779914945,5993842.398397282
0.030543261909900768,5991624.164256207
0.03490658503988659,5989068.175111796
0.039269908169872414,5986175.925253064
0.04363323129985824,5982949.101086374
0.04799655442984406,5979389.578511819
0.05235987755982989,5975499.420018128
0.05672320068981571,5971280.871504752
0.061086523819801536,5966736.358840655
0.06544984694978735,5961868.484169972
0.06981317007977318,5956680.021975398
0.07417649320975901,5951173.9149107495
0.07853981633974483,5945353.269414699
0.08290313946973066,5939221.3511182135
0.08726646259971647,5932781.580058595
0.0916297857297023,5926037.52571349
0.09599310885968812,5918992.901868479
0.10035643198967395,5911651.561332169
0.10471975511965978,5904017.490512905
0.1090830782496456,5896094.803871326
0.11344640137963143,5887887.738263122
0.11780972450961724,5879400.647186364
0.12217304763960307,5870637.994947712
0.1265363707695889,5861604.3507617805
0.1308996938995747,5852304.382797762
0.13526301702956053,5842742.852187245
0.13962634015954636,5832924.607006923
0.1439896632895322,5822854.57624959
0.14835298641951802,5812537.76379657
0.15271630954950383,5801979.242404241
0.15707963267948966,5791184.147717073
0.16144295580947549,5780157.672318997
0.16580627893946132,5768905.05983465
0.17016960206944712,5757431.599091358
0.17453292519943295,5745742.618352378
0.17889624832941878,5733843.479631287
0.1832595714594046,5721739.573096873
0.18762289458939044,5709436.311577377
0.19198621771937624,5696939.125172274
0.19634954084936207,5684253.4559792895
0.2007128639793479,5671384.752943704
0.20507618710933373,5658338.466836428
0.20943951023931956,5645120.045366769
0.21380283336930536,5631734.928435179
0.2181661564992912,5618188.543530776
0.22252947962927702,5604486.301277744
0.22689280275926285,5590633.59113432
0.23125612588924865,5576635.777247357
0.23561944901923448,5562498.194465073
0.2399827721492203,5548226.144509975
0.24434609527920614,5533824.892313512
0.24870941840919197,5519299.662513489
0.2530727415391778,5504655.636114841
0.25743606466916363,5489897.947313921
0.2617993877991494,5475031.680486006
0.26616271092913524,5460061.867335379
0.27052603405912107,5444993.484206928
0.2748893571891069,5429831.4495578585
0.2792526803190927,5414580.621587785
0.28361600344907856,5399245.796025167
0.2879793265790644,5383831.704067767
0.2923426497090502,5368343.010474518
0.29670597283903605,5352784.311805982
0.3010692959690218,5337160.134810344
0.30543261909900765,5321474.934951677
0.3097959422289935,5305733.0950770555
0.3141592653589793,5289938.924218923
0.31852258848896514,5274096.656528995
0.32288591161895097,5258210.45033981
0.3272492347489368,5242284.387350045
0.33161255787892263,5226322.471929497
0.33597588100890846,5210328.630539668
0.34033920413889424,5194306.7112657875
0.34470252726888007,5178260.483456079
0.3490658503988659,5162193.637464074
0.3534291735288517,5146109.784489743
0.35779249665883756,5130012.456515218
0.3621558197888234,5113905.106330932
0.3665191429188092,5097791.107647969
0.37088246604879505,5081673.755292514
0.3752457891787809,5065556.265478288
0.37960911230876665,5049441.7761529405
0.3839724354387525,5033333.347414424
0.3883357585687383,5017233.961993431
0.39269908169872414,5001146.525798075
0.39706240482870997,4985073.868517047
0.4014257279586958,4969018.744277593
0.40578905108868163,4952983.83235473
0.41015237421866746,4936971.737928226
0.4145156973486533,4920984.992883933
0.4188790204786391,4905026.056656224
0.4232423436086249,4889097.317108316
0.4276056667386107,4873201.091447417
0.43196898986859655,4857339.627171709
0.4363323129985824,4841515.103046314
0.4406956361285682,4825729.630105444
0.44505895925855404,4809985.252678117
0.4494222823885399,4794283.949434854
0.4537856055185257,4778627.634452923
0.45814892864851153,4763018.158297782
0.4625122517784973,4747457.309118477
0.46687557490848314,4731946.813754866
0.47123889803846897,4716488.338854623
0.4756022211684548,4701083.491998073
0.4799655442984406,4685733.822829038
0.48432886742842646,4670440.824189927
0.4886921905584123,4655205.933259409
0.4930555136883981,4640030.532691126
0.49741883681838395,4624915.951751954
0.5017821599483697,4609863.467458409
0.5061454830783556,4594874.30570992
0.5105088062083414,4579949.642417702
0.5148721293383273,4565090.604628104
0.519235452468313,4550298.271639363
0.5235987755982988,4535573.676110727
0.5279620987282847,4520917.805163051
0.5323254218582705,4506331.601469981
0.5366887449882564,4491815.964338924
0.5410520681182421,4477371.750781085
0.545415391248228,4462999.776569873
0.5497787143782138,4448700.8172870595
0.5541420375081997,4434475.609356134
0.5585053606381855,4420324.851062327
0.5628686837681712,4406249.203558849
0.5672320068981571,4392249.291858925
0.5715953300281429,4378325.705813245
0.5759586531581288,4364479.001072521
0.5803219762881145,4350709.700034843
0.5846852994181004,4337018.292777599
0.5890486225480862,4323405.237973738
0.5934119456780721,4309870.963792211
0.5977752688080579,4296415.86878243
0.6021385919380436,4283040.322742637
0.6065019150680295,4269744.6675721165
0.6108652381980153,4256529.218107156
0.6152285613280012,4243394.262940766
0.619591884457987,4230340.065226112
0.6239552075879728,4217366.863463707
0.6283185307179586,4204474.8722723825
0.6326818538479445,4191664.2831440964
0.6370451769779303,4178935.2651826465
0.6414085001079161,4166287.9658263987
0.6457718232379019,4153722.511555115
0.6501351463678877,4141239.0085810144
0.6544984694978736,4128837.5435241936
0.6588617926278594,4116518.184072568
0.6632251157578453,4104280.9796264693
0.667588438887831,4092125.961928085
