freq_Hz,|H|^2
100.0,0.986810121039547
100.23060076324136,0.9867492246349071
100.46173329360269,0.986688047131219
100.69339881734324,0.9866265872316782
100.92559856354958,0.9865648436335078
101.15833376414304,0.9865028150279317
101.39160565388529,0.9864405001001468
101.62541547038582,0.9863778975292958
101.85976445410762,0.9863150059884389
102.09465384837465,0.9862518241445264
102.33008489937762,0.9861883506583703
102.566058856181,0.9861245841846168
102.80257697072994,0.9860605233717176
103.03964049785613,0.9859961668619016
103.27725069528533,0.9859315132911466
103.51540882364324,0.9858665612891504
103.75411614646298,0.9858013094793024
103.99337393019094,0.9857357564786546
104.2331834441944,0.9856699008978926
104.47354596076737,0.9856037413413061
104.7144627551382,0.9855372764067605
104.95593510547565,0.9854705046856664
105.19796429289586,0.9854034247629513
105.44055160146965,0.9853360352170287
105.68369831822842,0.9852683346197695
105.92740573317195,0.985200321536471
106.17167513927431,0.9851319945258278
106.41650783249162,0.9850633521399006
106.66190511176804,0.9849943929240871
106.90786827904354,0.9849251154170903
107.15439863926008,0.9848555181508888
107.40149750036879,0.9847855996507054
107.64916617333729,0.9847153584349772
107.89740597215585,0.984644793015323
108.14621821384527,0.9845739018965141
108.39560421846295,0.9845026835764412
108.64556530911081,0.9844311365460843
108.89610281194139,0.9843592592894803
109.14721805616583,0.9842870502836919
109.39891237405993,0.9842145079987752
109.65118710097227,0.984141630897748
109.9040435753303,0.9840684174365577
110.15748313864802,0.9839948660640491
110.41150713553321,0.9839209752219312
110.66611691369393,0.983846743344746
110.92131382394648,0.9837721688598347
111.17709922022173,0.9836972501873049
111.43347445957316,0.9836219857399985
111.69044090218318,0.9835463739234575
111.94799991137126,0.983470413135891
112.20615285360032,0.9833941017681422
112.46490109848436,0.9833174382036544
112.72424601879611,0.9832404208184371
112.9841889904734,0.9831630479810326
113.24473139262749,0.9830853180524816
113.5058746075494,0.983007229386289
113.76762002071818,0.9829287803283898
114.02996902080737,0.9828499692171142
114.29292299969323,0.9827707943831535
114.55648335246127,0.9826912541495246
114.8206514774145,0.9826113468315357
115.08542877608012,0.9825310707367508
115.35081665321724,0.9824504241649545
115.61681651682468,0.9823694054081167
115.88342977814773,0.9822880127503567
116.1506578516864,0.9822062444679077
116.41850215520213,0.982124098829081
116.68696410972618,0.9820415740942298
116.95604513956626,0.9819586685157128
117.225746672315,0.981875380337858
117.49607013885674,0.9817917077969265
117.76701697337543,0.981707649121075
118.0385886133626,0.9816232025303198
118.31078649962423,0.9815383662364989
118.58361207628921,0.9814531384432359
118.85706679081619,0.9813675173459014
119.1311520940021,0.9812815011315765
119.40586943998896,0.9811950879790148
119.68122028627256,0.9811082760586041
119.95720609370915,0.9810210635323291
